Active EFROS 3.2014,,,,,
EFRO ID,Account Number (Agency),Agency Alias (Agency),Agency,Program Type,Manual Entry
80179,R210,BX101,New St. John Baptist Church,Food Pantry,n
80056,R213,BX104,Eastchester Gardens Resident Council,Food Pantry,y
85027,R215,BX106,Word of Life Christian Fellowship International,Food Pantry,n
85056,R216,BX107,Community Food Pantry of Highbridge,Food Pantry,n
84997,R218,BX109,Mid-Bronx Senior Citizen Council,Senior Center,n
80149,R219,BX11,St. Ann's Pantry & Soup Kitchen,Food Pantry,n
80150,R219,BX11,St. Ann's Pantry & Soup Kitchen,Soup Kitchen,n
83343,R22,BK105,Family Renaissance Inc.,Food Pantry,y
84129,R220,BX110,Vineyard International Christian Ministries,Food Pantry,n
83918,R223,BX12,African Redemption Alliance Inc.,Food Pantry,n
80137,R226,BX14,SA - Citadel,Food Pantry,n
81048,R226,BX14,SA - Citadel,Soup Kitchen,n
84128,R228,BX15,Deeper Life Charity Inc.,Food Pantry,y
80026,R230,BX20,Bronx SDA Church,Food Pantry,n
80121,R232,BX25,Part of the Solution (POTS),Soup Kitchen,n
83550,R232,BX25,Part of the Solution (POTS),Food Pantry,n
84220,R234,BX26,Garden of Prayer,Soup Kitchen,n
87340,R234,BX26,Garden of Prayer,Food Pantry,n
82198,R236,BX27,Good Counsel Inc.,Shelter,n
81597,R237,BX28,Bronx AIDS Services,Food Pantry,n
84095,R24,BK107,Hazel Brooks Senior Center,Senior Center,n
83977,R242,BX33,The Jericho Residence I & II,Food Pantry,n
80182,R243,BX35,United Bronx Parents Inc.,Food Pantry,n
81319,R243,BX35,United Bronx Parents Inc.,Soup Kitchen,n
80077,R245,BX36,Highbridge Community Life Center,Food Pantry,y
80136,R247,BX38,Salvation Army Bronx Tremont Corps.,Food Pantry,n
82210,R249,BX39,Prospect SDA Church,Food Pantry,n
83383,R251,BX42,Los Redimidos en la Sangre de Cristo,Food Pantry,n
84953,R254,BX44,Morrisania Revitalization Corporation,Food Pantry,n
80180,R258,BX47,True Baptist - True Gospel Tabernacle,Food Pantry,n
80006,R259,BX48,Abundant Life Tabernacle,Food Pantry,n
83449,R26,BK109,Urban Strategies Inc.,Food Pantry,y
84780,R26,BK109,Urban Strategies Inc.,Shelter,n
84026,R262,BX50,BASICS Inc.,Shelter,y
80063,R265,BX52,Fordham Lutheran Church,Food Pantry,y
80081,R266,BX53,Holy Tabernacle Church Inc.,Food Pantry,n
80082,R266,BX53,Holy Tabernacle Church Inc.,Soup Kitchen,n
84816,R268,BX54,University Family Residence (V.O.A.),Shelter,y
81671,R269,BX55,Immaculate Conception,Food Pantry,n
81838,R269,BX55,Immaculate Conception,Soup Kitchen,n
84027,R271,BX57,Community Action for Human Service,Shelter,n
85153,R272,BK204,BRC - Supported Housing Program,Shelter,y
87008,R274,BX61,Jericho Project,Shelter,n
84976,R275,BX63,BRC - Scatter Site,Food Pantry,y
80047,R276,BX65,Evangelistic Communities Outreach Bx,Food Pantry,n
80029,R280,BX69,Bronx Temple SDA Church,Food Pantry,n
82038,R282,BX70,Abrigo Del Altistimo,Food Pantry,n
82832,R283,BX71,Beacon of Hope House,Food Pantry,y
81327,R286,BX73,Christ the King,Food Pantry,y
82756,R287,BX74,St. Jerome's Community Food Pantry,Food Pantry,n
84029,R288,BX75,Beacon of Hope House - Residence,Shelter,y
80085,R289,BX76,Black Forum of Co-op City,Food Pantry,n
83956,R29,BK110,Bed Stuy Campaign Against Hunger,Food Pantry,n
85271,R29,BK110,Bed Stuy Campaign Against Hunger,Food Pantry,n
84030,R292,BX79,Beacon of Hope House,Shelter,y
84031,R294,BX81,Aguila Foundation - Cauldwell Family Residence,Shelter,y
84032,R295,BX82,Willis Avenue United Methodist Church,Soup Kitchen,y
81347,R297,BX84,Creston Avenue Baptist Church,Soup Kitchen,n
81348,R297,BX84,Creston Avenue Baptist Church,Food Pantry,n
87062,R298,BX85,Davidson Community Center,Food Pantry,y
84106,R299,BX87,Benedict Avenue Community Food Pantry,Food Pantry,n
87341,R30,BK111,Church of God of Salvation,Food Pantry,n
81665,R300,BX88,The Hope Line Resource Center,Food Pantry,n
80013,R301,BX89,Astor Child Guidance Center,Food Pantry,y
82867,R303,BX91,Casa La Esperanza,Soup Kitchen,y
82868,R303,BX91,Casa La Esperanza,Food Pantry,y
84034,R305,BX93,St. Ann's Corner of Harm Reduction,Soup Kitchen,n
82841,R306,BX94,Project Street Beat,Food Pantry,y
81582,R307,BX95,Way Out Church Ministries Inc.,Food Pantry,n
80106,R308,BX96,Bread of Life Mission c/o Mt. Olivet Church,Soup Kitchen,n
81425,R308,BX96,Bread of Life Mission c/o Mt. Olivet Church,Food Pantry,n
84325,R31,BK112,Greene Avenue Senior Houses,Food Pantry,n
82096,R310,BX99,Give Them To Eat,Food Pantry,n
87120,R310,BX99,Give Them To Eat,Soup Kitchen,n
81518,R313,KBK1,Abraham Residence I,Food Pantry,n
84456,R314,KBK10,Hannah Kosher Food Shabbat Foundation,Food Pantry,n
83618,R315,KBK12,Shorefront Jewish Community Council,Food Pantry,n
82219,R316,KBK13,Machon Chana Women's Inst.,Food Pantry,n
84206,R317,KBK14,Sephardic Bikur Holim,Food Pantry,n
84981,R318,KBK15,Shulamith School for Girls,Lunch Program,y
84982,R319,KBK16,Bnai Rapheal Chesed Organization,Food Pantry,n
80241,R32,BK113,Christian Fellowship SDA Church,Soup Kitchen,n
81051,R32,BK113,Christian Fellowship SDA Church,Food Pantry,n
85062,R320,KBK17,Congregation Meor Hachaim Of Luna Park,Food Pantry,n
85170,R321,KBK18,Masbia,Soup Kitchen,n
85200,R321,KBK18,Masbia,Food Pantry,n
81168,R322,KBK2,Jewish Community Council of Canarsie,Food Pantry,n
81157,R324,KBK22,Va'ad Hakol Crown Heights,Food Pantry,n
84045,R325,KBK23,Young Israel of Flatbush Welfare Org.,Food Pantry,y
83002,R327,KBK25,Metropolitan Council (Food Pantry),Food Pantry,n
85086,R327,KBK25,Metropolitan Council (Food Pantry),Food Pantry,n
89123,R328,KBK26,OTSAR,Youth Services,n
89127,R328,KBK26,OTSAR,Food Pantry,n
89128,R328,KBK26,OTSAR,Day Care,n
84047,R329,KBK27,Mirrer Yeshiva,Shelter,y
83320,R33,BK114,Community Lounge Senior Ctr/Friendly Soup Kitchen,Soup Kitchen,n
83500,R33,BK114,Community Lounge Senior Ctr/Friendly Soup Kitchen,Food Pantry,n
81402,R332,KBK3,Natl Comm-Furtherance Jewish Education,Food Pantry,n
84138,R333,KBK30,Yeshiva Ohel Moshe,Food Pantry,n
81699,R335,KBK32,Zichron Acheinu Levy-Menachemtzion,Food Pantry,n
84742,R336,KBK33,Aishel Shabbat,Food Pantry,n
85152,R337,KBK34,Ladies Bikur Cholim Dsatmor,Food Pantry,y
82784,R338,KBK6,Abraham 1 Residence,Shelter,n
82785,R339,KBK8,Oneg Shabbos,Food Pantry,n
83944,R34,BK115,Urban Strategies Maternity Res.,Shelter,y
83364,R340,KBK9,Tomche Shabbos - Borough Park/Flatbush,Food Pantry,n
81184,R341,KM1,Project ORE of Ed. Alliance,Soup Kitchen,n
81235,R341,KM1,Project ORE of Ed. Alliance,Food Pantry,n
87034,R342,KM3,Dorot-Homeless Prevention Program,Shelter,y
81249,R343,KM4,Congregation B'nai Jeshurun,Soup Kitchen,n
85112,R345,KM71,YM-YWHA/Washington Heights-Inwood,Senior Center,n
80957,R347,KQ6,Queens Jewish Community Council,Food Pantry,n
81595,R348,KQN1,Project L.E.A.D - kosher Kitchen,Food Pantry,n
82296,R35,BK116,Church of God,Food Pantry,y
84205,R350,KQN3,Kehillat Sephardim Synagogue,Food Pantry,n
80903,R352,KQN42,Jewish Service Coalition,Food Pantry,n
84988,R353,KQN50,Beth Gavriel Shaare Zion,Food Pantry,n
80885,R354,KQN51,Congregation Shaare Zedek,Food Pantry,y
81020,R355,KS01,Council of Jewish Organization of S.I.,Food Pantry,n
80627,R357,M02,Little Sisters of the Assumption,Food Pantry,n
84053,R358,M03,Bellevue Hospital - CSS MICA,Shelter,y
82787,R359,M03B,Bellevue Hospital - Alcohol Outpatient,Food Pantry,y
83934,R36,BK117,St. Augustine American Catholic Church Inc.,Soup Kitchen,n
84146,R36,BK117,St. Augustine American Catholic Church Inc.,Food Pantry,n
81659,R362,M06,Goddard Riverside - The Other Place,Soup Kitchen,n
87359,R362,M06,Goddard Riverside - The Other Place,Soup Kitchen,n
81487,R363,M07,Cecil Hotel,Shelter,n
83706,R364,M08,Grace Hispanic United Methodist Church,Food Pantry,n
81679,R365,M09,FACES NY Inc.,Food Pantry,y
82367,R366,M10,Iglesia Pentecostal el Maestro,Food Pantry,n
82791,R367,M101,Ready Willing & Able - Harlem # 1,Food Pantry,n
87046,R368,M102,Educational Alliance Inc.,Shelter,n
83347,R37,BK118,Zion Shiloh Baptist Church,Food Pantry,y
81610,R370,M104,Our Lady of Lourdes Church,Food Pantry,n
82793,R372,M105,Polo Grounds Valley Inc.,Food Pantry,y
84984,R373,M106,Cluster House - Urban Pathways,Shelter,y
82723,R376,M109,Community Center of Immigrants,Food Pantry,n
82795,R377,M10B,Jericho House,Shelter,y
80604,R378,M11,Holy Apostles Soup Kitchen,Soup Kitchen,n
82796,R379,M110,Echo Apartments,Food Pantry,y
82195,R38,BK119,True Holy Church,Food Pantry,n
82797,R381,M112,Doe Fund A Better Place,Shelter,y
84893,R382,M113,MHA of NYC Recovery Works,Food Pantry,n
80699,R383,M114,Create Inc. (Outpatient),Food Pantry,y
84533,R383,M114,Create Inc. (Outpatient),Senior Center,y
84054,R384,M115,Create Inc. - Create Young Adult,Shelter,y
84055,R385,M116,Kenmore Associates LP,Shelter,n
