Active EFROS 3.2014,,,,,
EFRO ID,Account Number (Agency),Agency Alias (Agency),Agency,Program Type,Manual Entry
83633,R583,Q38,Church of God in Christ Jesus,Soup Kitchen,n
81110,R584,Q39,First Church of God in Christ,Food Pantry,n
82133,R584,Q39,First Church of God in Christ,Soup Kitchen,n
80876,R588,Q41,Calvary Baptist Church,Food Pantry,n
82819,R589,Q42,American Sevasharam Sangha Inc.,Food Pantry,n
83898,R59,BK138,Thurston Memorial Outreach Ministries,Soup Kitchen,n
84354,R59,BK138,Thurston Memorial Outreach Ministries,Food Pantry,n
80871,R591,Q44,Bethel Mission Church,Food Pantry,n
80872,R591,Q44,Bethel Mission Church,Soup Kitchen,n
83293,R592,Q45,Bethany Baptist Church of Jamaica,Soup Kitchen,n
83294,R592,Q45,Bethany Baptist Church of Jamaica,Food Pantry,n
82077,R595,Q47,Holy Temple Church,Food Pantry,n
81150,R596,Q48,United Methodist Center,Soup Kitchen,n
81151,R596,Q48,United Methodist Center,Food Pantry,n
81390,R598,Q49,First Reformed Church of Jamaica,Soup Kitchen,y
83270,R599,Q50,Morris Brown Helping Hands SK,Food Pantry,n
83450,R599,Q50,Morris Brown Helping Hands SK,Soup Kitchen,n
80620,R6,BK04,Hope City Empowerment Ctr - Beulah Church Nazarene,Food Pantry,n
84198,R6,BK04,Hope City Empowerment Ctr - Beulah Church Nazarene,Soup Kitchen,n
83578,R601,Q51,Christina Home Care Services Inc.,Food Pantry,n
83398,R602,Q52,Universal Church of Salvation,Food Pantry,y
82821,R603,Q53,Queens Church of The First Born,Food Pantry,n
81979,R604,Q54,St. Albans Gospel Assembly Inc.,Food Pantry,n
83454,R604,Q54,St. Albans Gospel Assembly Inc.,Soup Kitchen,n
84936,R607,Q56,Calvary's Mission Food Pantry,Food Pantry,n
84960,R608,Q57,Hour Children - Our Outreach Food Pantry,Food Pantry,n
82075,R609,Q58,Macedonia AME Church Community Devel. Corp.,Food Pantry,n
83457,R609,Q58,Macedonia AME Church Community Devel. Corp.,Soup Kitchen,n
84222,R610,Q59,First Presbyterian Church - Springfield Gardens,Food Pantry,n
82060,R611,Q60,Loving Care Center - God's Battalion,Food Pantry,n
82976,R612,Q61,Queensboro Temple SDA Church,Food Pantry,n
83458,R613,Q62,Steinway Child and Family Services Inc,Food Pantry,n
83964,R614,Q63,Price Memorial Baptist Church,Food Pantry,y
83914,R615,Q64,"Cathedral Family Life Center, Inc.",Food Pantry,n
84887,R618,Q67,National Sorority of Phi Delta Kappa,Food Pantry,n
85079,R619,Q68,Walk In Love Family Life Christian Center,Food Pantry,n
80398,R62,BK14,St. Matthew's RC Church,Food Pantry,y
81344,R620,Q69,Bethesda Missionary Baptist Church,Soup Kitchen,n
83560,R620,Q69,Bethesda Missionary Baptist Church,Food Pantry,n
80866,R622,Q71,Allen Outreach Ministry Church,Food Pantry,n
83542,R622,Q71,Allen Outreach Ministry Church,Soup Kitchen,n
84082,R623,Q72,St. Christopher Ottilie,Shelter,n
82078,R627,Q76,Mount Horeb Baptist Church,Soup Kitchen,n
83292,R627,Q76,Mount Horeb Baptist Church,Food Pantry,n
87373,R629,Q78,Hollis St. Albans Church of the First Born,Food Pantry,y
82183,R63,BK140,Mount Sinai Baptist Church,Soup Kitchen,n
82184,R63,BK140,Mount Sinai Baptist Church,Food Pantry,n
80979,R631,Q80,Springfield Gardens SDA Church,Food Pantry,y
84257,R636,Q85,The Just Shall Live By Faith Church/Del.,Food Pantry,y
80917,R637,Q88,Queens Village Hollis Avenue Congregational Church,Food Pantry,n
84720,R638,Q89,Queens Tabernacle Church Inc. Food Pantry,Food Pantry,n
80971,R639,Q90,SA - Queens Astoria Corps,Food Pantry,n
83614,R64,BK141,Gethsemane Baptist Church of Deliverance,Soup Kitchen,y
84862,R640,Q91,The Great I am,Food Pantry,n
85080,R642,Q93,United Presbyterian Church of Ridgewood,Food Pantry,y
85077,R643,Q94,Genesis Supportive Housing,Shelter,n
85024,R644,Q95,New Life Community Development Corporation,Food Pantry,n
87007,R645,Q96,Center of Hope Bread of Life - FP,Food Pantry,y
84471,R646,Q97,Gospel Assembly - Queens - Assemble Evangelique,Food Pantry,n
81033,R647,S01,Project Hospitality,Food Pantry,n
81034,R647,S01,Project Hospitality,Soup Kitchen,n
84802,R648,S012,Staten Island Liberian Community,Food Pantry,n
80291,R65,BK142,Hebron SDA French Church,Food Pantry,n
80292,R65,BK142,Hebron SDA French Church,Soup Kitchen,n
81039,R654,S07,SA - Stapleton Citadel,Food Pantry,n
81040,R654,S07,SA - Stapleton Citadel,Soup Kitchen,n
82199,R656,S08,Good Counsel Homes Inc.,Shelter,y
81360,R657,S09,Stapleton UAME Church,Soup Kitchen,n
82139,R657,S09,Stapleton UAME Church,Food Pantry,n
81559,R659,S10,Christian Pentecostal Church,Food Pantry,n
82850,R66,BK143,New World Creation Resource Center,Food Pantry,y
83521,R661,S12,Staten Island SDA Church,Food Pantry,n
83656,R662,S13,Our Lady of Good Counsel Church,Food Pantry,n
84017,R664,S15,Richmond Senior Services Inc.,Food Pantry,n
84771,R666,S17,Community Health Action of Staten Island,Food Pantry,n
87357,R667,S18,St. Edward Food Pantry,Food Pantry,n
82261,R67,BK144,Haitian Evangelical Clergy,Food Pantry,y
82836,R68,BK145,Cathedral of Joy Church of God Inc.,Soup Kitchen,n
82837,R68,BK145,Cathedral of Joy Church of God Inc.,Food Pantry,n
84258,R688,Q98,River Fund Inc.,Food Pantry,n
85251,R688,Q98,River Fund Inc.,Food Pantry,n
82905,R689,BK201,Holy Innocent Church Inc.,Food Pantry,n
81742,R690,BK202,CAMBA -Beyond Hunger Emergency Food Pantry,Food Pantry,n
84944,R691,BK203,The Church of God Seventh Day Pentecostal Inc.,Food Pantry,n
85082,R692,BX112,River Watch Inc.,Food Pantry,n
80024,R693,BX113,Bronx Pentecostal Deliverance,Food Pantry,y
80972,R694,Q99,The Salvation Army - Jamaica,Food Pantry,n
80973,R694,Q99,The Salvation Army - Jamaica,Soup Kitchen,n
83351,R697,Q101,Deliverance Temple Church,Food Pantry,n
83879,R698,Q102,ELOHIM - Community Development Coorporation,Food Pantry,n
81316,R699,BX115,St. Edmunds Youth Program Inc.,Food Pantry,n
82871,R70,BK147,El Divino Salvador,Food Pantry,n
80260,R700,KBK206,Crown Heights Jewish Community Council,Food Pantry,n
85165,R701,KQN103,Jewish Institute of Queens Emergency Food Program,Food Pantry,n
84043,R71,BK148,Zion Church of the Truth Community Service,Food Pantry,n
81046,R714,S22,Trinity Evangelical Lutheran Church,Food Pantry,n
81047,R714,S22,Trinity Evangelical Lutheran Church,Soup Kitchen,n
85181,R715,BK211,Overcoming Love Ministries - Soup Kitchen,Soup Kitchen,n
85148,R716,BK212,Mount Hebron Food for Life Food Pantry,Food Pantry,n
82056,R72,BK149,Unity Faith Outreach,Food Pantry,n
81113,R725,BX124,Grand Concourse SDA Church,Food Pantry,n
80255,R728,BK214,Congregation House of Israel,Food Pantry,n
85083,R729,BK215,The Greenpoint Reformed Church,Food Pantry,n
80421,R730,BK216,Trinity Human Services,Food Pantry,n
80065,R731,BX126,Gethsemane Baptist Church,Food Pantry,n
80164,R732,BX127,St. Peter's Lutheran Church,Food Pantry,n
85121,R733,M198,New Brighton Community LDC,Food Pantry,n
80841,R734,M199,Washington Heights Ecumenical Food Pantry,Food Pantry,n
84044,R74,BK150,Urban Strategies TASA Program,Food Pantry,y
81324,R75,BK151,St. Stephen Outreach,Food Pantry,n
81412,R75,BK151,St. Stephen Outreach,Soup Kitchen,n
84151,R756,BK222,Gethsemane SDA Church,Food Pantry,n
83448,R77,BK154,Mt. Moriah Church of God In Christ,Food Pantry,y
83690,R773,BX141,Path of Blessings,Food Pantry,y
80712,R774,M205,The Riverside Church Food Pantry,Food Pantry,n
81702,R775,BX142,St. Augustine Food Pantry,Food Pantry,n
84801,R777,BK231,Pentecostal Rescue House,Food Pantry,n
85162,R778,BX144,Every Day is a Miracle,Food Pantry,n
85031,R779,BK232,Christ The Rock International,Food Pantry,n
87258,R78,BK155,Caring Community Hope,Shelter,y
81349,R780,M206,Middle Collegiate Church,Food Pantry,n
81783,R781,BK233,Unity Fellowship of Christ Church,Food Pantry,n
85218,R783,BK235,Christian Church of Canarsie,Food Pantry,n
84268,R785,BX145,New Covenant Faith & Arena,Food Pantry,n
83661,R786,BK236,St. Anthony's Baptist Church,Soup Kitchen,n
83547,R787,BK237,Triumphant Full Gospel,Food Pantry,n
81206,R788,M207,Help House - Love Kitchen,Soup Kitchen,n
81246,R788,M207,Help House - Love Kitchen,Food Pantry,n
82065,R789,M208,Community Association of Progressive Dominicans,Food Pantry,y
84002,R79,BK156,Church of God Inc.,Food Pantry,n
80618,R790,M209,JCC of Washington Heights,Food Pantry,n
81646,R791,BK238,Solid Rock Baptist Church,Food Pantry,n
85090,R793,BK239,Masbia of Boro Park,Soup Kitchen,n
85192,R793,BK239,Masbia of Boro Park,Food Pantry,n
85190,R794,Q109,Masbia of Queens,Soup Kitchen,n
85214,R794,Q109,Masbia of Queens,Food Pantry,n
84182,R796,Q111,First Presbyterian Russell Sage Memorial Church,Food Pantry,n
82033,R797,Q112,Beraca SDA Church,Food Pantry,n
83444,R798,BK240,Fernande Valme Ministries,Food Pantry,n
83409,R799,BK241,Crossover Baptist Church,Food Pantry,n
83410,R799,BK241,Crossover Baptist Church,Soup Kitchen,n
87192,R80,BK157,Gethsemane SDA Church,Soup Kitchen,y
82359,R800,BX146,El Amanecer Da La Esperanza Ministry,Food Pantry,n
85156,R801,M211,Antioch Outreach Ministries,Food Pantry,n
84308,R802,BK242,Liberty Hall Church of God,Food Pantry,n
84753,R803,Q113,Jackson Heights SDA Church,Food Pantry,n
80204,R804,BK243,Recovery House of Brooklyn,Food Pantry,n
80200,R84,BK16,All People's Church of The Apostolic Faith,Food Pantry,n
84103,R85,BK160,International Pentecostal City Mission,Food Pantry,n
80328,R86,BK161,Mount Sinai Spiritual Church of God,Soup Kitchen,y
80347,R88,BK163,Our Lady of Refuge R.C. Church,Food Pantry,n
80410,R89,BK164,Stuyvesant Heights Christian Center,Soup Kitchen,n
85255,R918,Q157,Project Hope Charities,Food Pantry,n
81576,R92,BK167,Ammi Evangelical Baptist Church,Food Pantry,n
82186,R93,BK168,New Life SDA Church,Food Pantry,n
85232,R930,BX154,Citiwide Harm Reduction,Soup Kitchen,n
85267,R931,BK282,New Church International,Food Pantry,n
85268,R932,Q159,Action Center for Education and Community Development,Food Pantry,n
81372,R933,Q160,First Congregational Church of Far Rockaway,Food Pantry,y
85276,R934,BK283,Children of the Light Ministry,Food Pantry,n
82807,R936,M226,Salem Service Council,Food Pantry,n
85254,R936,M226,Salem Service Council,Soup Kitchen,n
81049,R96,BK171,Church of God in Christ on the Hill,Soup Kitchen,n
81479,R99,BK175,Emmaus S.D.A. Church,Food Pantry,n
84923,R410,M14,Grand Coalition of Seniors-Grand Street Settlemet,Senior Center,y
81743,R53,BK132,Flatbush Dutch Reformed Church,Food Pantry,y
83421,R53,BK132,Flatbush Dutch Reformed Church,Soup Kitchen,y
83676,R25,BK108,Emmanuel Church,Food Pantry,y
82818,R594,Q46,American Sevashram Sangha Inc.,Food Pantry,y
82197,R454,M179,Youth Action Programs & Homes Inc.,Food Pantry,y
83328,R652,S04,New Direction Services Inc.,Food Pantry,y
80142,R252,BX43,Shilo Temple Pentacostal Church,Food Pantry,y
80143,R252,BX43,Shilo Temple Pentacostal Church,Soup Kitchen,y
82085,R168,BK72,St. Phillip's Christian Church,Food Pantry,y
80314,R188,BK88,Risen Christ Lutheran Church,Food Pantry,y
83551,R188,BK88,Risen Christ Lutheran Church,Soup Kitchen,y
81740,R55,BK134,Bushwick Information Coordination Service Center,Food Pantry,y
83911,R535,M97,Euclid Hall - Westside Federation For Seniors,Soup Kitchen,y
87335,R535,M97,Euclid Hall - Westside Federation For Seniors,Senior Center,y
84046,R326,KBK24,Yeshiva Torah Vodaath Inc.,Food Pantry,y
81154,R19,BK101,Anchor House Women's Facility,Rehab - Substance Abuse,y
87298,R413,M142,The Bridge Inc.,Soup Kitchen,y
80153,R255,BX46,St. Benedict the Moor Comm. Center,Soup Kitchen,y
82857,R255,BX46,St. Benedict the Moor Comm. Center,Food Pantry,y
82001,R97,BK172,Cuyler Warren United Methodist Church,Soup Kitchen,y
83275,R97,BK172,Cuyler Warren United Methodist Church,Food Pantry,y
81463,R250,BX41,Narco Freedom Inc.,Soup Kitchen,y
82172,R250,BX41,Narco Freedom Inc.,Food Pantry,y
84778,R459,M183,Church of Christian Fellowship Love Inc,Food Pantry,y
84172,R552,Q07,Bethlehem French SDA Church,Soup Kitchen,y
84173,R552,Q07,Bethlehem French SDA Church,Food Pantry,y
81107,R586,Q40,Godian Fellowship,Food Pantry,y
81108,R586,Q40,Godian Fellowship,Soup Kitchen,y
82805,R488,M33,Peter's Place,Soup Kitchen,y
0,R653,S06,New Brighton Community LDC,Food Pantry,y
87183,R198,BX01,Aging In America Community Service Inc.,Food Pantry,y
89089,R198,BX01,Aging In America Community Service Inc.,Senior Center,y
84040,R186,BK86,Damon House New York Inc.,Shelter,y
